Image,Framework,Version
C:\Windows\WinSxS\amd64_microsoft-windows-m..nt-browser.appxmain_31bf3856ad364e35_10.0.19041.5678_none_708f6365b21db632\SecureAssessmentBrowser.exe,.NET Framework,4.5
C:\Windows\WinSxS\amd64_microsoft-windows-m..nt-browser.appxmain_31bf3856ad364e35_10.0.19041.5915_none_7069363db23b2518\SecureAssessmentBrowser.exe,.NET Framework,4.5
C:\Windows\WinSxS\amd64_microsoft-windows-m..nt-browser.appxmain_31bf3856ad364e35_10.0.19041.6033_none_70ccb593b1f02632\SecureAssessmentBrowser.exe,.NET Framework,4.5
C:\Windows\WinSxS\amd64_wcf-smsvchost_b03f5f7f11d50a3a_10.0.19200.110_none_11b0c321be81025e\SMSvcHost.exe,.NET Framework,v2.0.50727
C:\Windows\WinSxS\wow64_aspnet_compiler_b03f5f7f11d50a3a_4.0.15805.0_none_9d9ad2580504a573\aspnet_compiler.exe,.NET Framework,v4.0.30319
C:\Windows\WinSxS\wow64_aspnet_compiler_b03f5f7f11d50a3a_4.0.15840.3_none_9d95d60805091f79\aspnet_compiler.exe,.NET Framework,v4.0.30319
C:\Windows\WinSxS\wow64_aspnet_regbrowsers_b03f5f7f11d50a3a_4.0.15805.0_none_8e3bba60c5867c39\aspnet_regbrowsers.exe,.NET Framework,v4.0.30319
C:\Windows\WinSxS\wow64_aspnet_regbrowsers_b03f5f7f11d50a3a_4.0.15840.300_none_82ca0b4b043a1989\aspnet_regbrowsers.exe,.NET Framework,v4.0.30319
C:\Windows\WinSxS\wow64_aspnet_regbrowsers_b03f5f7f11d50a3a_4.0.15840.3_none_8e36be10c58af63f\aspnet_regbrowsers.exe,.NET Framework,v4.0.30319
C:\Windows\WinSxS\wow64_aspnet_regsql_b03f5f7f11d50a3a_4.0.15805.0_none_d4adcbe768a8354a\aspnet_regsql.exe,.NET Framework,v4.0.30319
C:\Windows\WinSxS\wow64_aspnet_regsql_b03f5f7f11d50a3a_4.0.15840.300_none_c93c1cd1a75bd29a\aspnet_regsql.exe,.NET Framework,v4.0.30319
C:\Windows\WinSxS\wow64_aspnet_regsql_b03f5f7f11d50a3a_4.0.15840.3_none_d4a8cf9768acaf50\aspnet_regsql.exe,.NET Framework,v4.0.30319
C:\Windows\WinSxS\wow64_caspol_b03f5f7f11d50a3a_4.0.15805.0_none_f0aa60ae9c531752\CasPol.exe,.NET Framework,v4.0.30319
C:\Windows\WinSxS\wow64_caspol_b03f5f7f11d50a3a_4.0.15840.3_none_f0a5645e9c579158\CasPol.exe,.NET Framework,v4.0.30319
C:\Windows\WinSxS\wow64_microsoft-windows-gpowershell-exe_31bf3856ad364e35_10.0.19041.1_none_f8d6d7787573666b\powershell_ise.exe,.NET Framework,4.5.1
C:\Windows\WinSxS\amd64_microsoft-windows-storage-diagnostics_31bf3856ad364e35_10.0.19041.1_none_2aa26221a7a3d549\stordiag.exe,.NET Framework,4.5
C:\Windows\WinSxS\amd64_microsoft-windows-timezone-sync_31bf3856ad364e35_10.0.19041.1_none_4521fd67bfb25b6a\tzsync.exe,.NET Framework,4.6
C:\Windows\WinSxS\amd64_microsoft-windows-filehistory-ui_31bf3856ad364e35_10.0.19041.3636_none_c2ca195f405995cd\FileHistory.exe,.NET Framework,4.5
C:\Windows\WinSxS\amd64_microsoft-windows-a..nagement-appvclient_31bf3856ad364e35_10.0.19041.5794_none_4105710a7d7deb54\ScriptRunner.exe,.NET Framework,4.5
C:\Windows\WinSxS\amd64_microsoft-windows-a..nagement-appvclient_31bf3856ad364e35_10.0.19041.5794_none_4105710a7d7deb54\AppVStreamingUX.exe,.NET Framework,4.5
C:\Windows\WinSxS\amd64_microsoft-windows-appmanagement-uevagent_31bf3856ad364e35_10.0.19041.5794_none_713e9f5f9a519c79\UevTemplateConfigItemGenerator.exe,.NET Framework,4.5
C:\Windows\WinSxS\amd64_microsoft-windows-appmanagement-uevagent_31bf3856ad364e35_10.0.19041.5794_none_713e9f5f9a519c79\UevTemplateBaselineGenerator.exe,.NET Framework,4.5
C:\Windows\WinSxS\amd64_microsoft-windows-appmanagement-uevagent_31bf3856ad364e35_10.0.19041.5794_none_713e9f5f9a519c79\UevAppMonitor.exe,.NET Framework,4.5
C:\Windows\WinSxS\amd64_microsoft-windows-appmanagement-uevagent_31bf3856ad364e35_10.0.19041.5794_none_713e9f5f9a519c79\UevAgentPolicyGenerator.exe,.NET Framework,4.5
C:\Windows\WinSxS\amd64_microsoft-windows-appmanagement-uevagent_31bf3856ad364e35_10.0.19041.5794_none_713e9f5f9a519c79\Microsoft.Uev.SyncController.exe,.NET Framework,4.5
C:\Windows\WinSxS\amd64_microsoft-windows-appmanagement-uevagent_31bf3856ad364e35_10.0.19041.5915_none_7120e66f9a692344\UevTemplateConfigItemGenerator.exe,.NET Framework,4.5
C:\Windows\WinSxS\amd64_microsoft-windows-appmanagement-uevagent_31bf3856ad364e35_10.0.19041.5915_none_7120e66f9a692344\UevTemplateBaselineGenerator.exe,.NET Framework,4.5
C:\Windows\WinSxS\amd64_microsoft-windows-appmanagement-uevagent_31bf3856ad364e35_10.0.19041.5915_none_7120e66f9a692344\UevAppMonitor.exe,.NET Framework,4.5
C:\Windows\WinSxS\amd64_microsoft-windows-appmanagement-uevagent_31bf3856ad364e35_10.0.19041.5915_none_7120e66f9a692344\UevAgentPolicyGenerator.exe,.NET Framework,4.5
C:\Windows\WinSxS\amd64_microsoft-windows-appmanagement-uevagent_31bf3856ad364e35_10.0.19041.5915_none_7120e66f9a692344\Microsoft.Uev.SyncController.exe,.NET Framework,4.5
C:\Windows\SystemApps\Microsoft.Windows.SecureAssessmentBrowser_cw5n1h2txyewy\SecureAssessmentBrowser.exe,.NET Framework,4.5
C:\Windows\WinSxS\amd64_wpf-terminalserverwpfwrapperexe_31bf3856ad364e35_10.0.19041.1_none_da504d0e6afd0a49\TsWpfWrp.exe,.NET Framework,v2.0.50727
C:\Windows\WinSxS\amd64_wpf-xamlviewer_31bf3856ad364e35_10.0.19041.1_none_0bff5a051c4a690a\XamlViewer_v0300.exe,.NET Framework,v2.0.50727
C:\Windows\WinSxS\amd64_wsatconfig_b03f5f7f11d50a3a_4.0.15805.0_none_63e334c9a2aa569e\WsatConfig.exe,.NET Framework,v4.0.30319
C:\Windows\WinSxS\amd64_wsatconfig_b03f5f7f11d50a3a_4.0.15840.3_none_63de3879a2aed0a4\WsatConfig.exe,.NET Framework,v4.0.30319
C:\Windows\WinSxS\msil_presentationfontcache_31bf3856ad364e35_10.0.19041.1_none_679d42cd97347ace\PresentationFontCache.exe,.NET Framework,v2.0.50727
C:\Windows\WinSxS\msil_wsatconfig_b03f5f7f11d50a3a_10.0.19041.1_none_c9c647e748814b31\WsatConfig.exe,.NET Framework,v2.0.50727
C:\Program Files\Docker\Docker\DockerCli.exe,.NET Framework,4.6.2
C:\Program Files\Docker\Docker\Docker Desktop.exe,.NET Framework,4.6.2
C:\Program Files\Docker\Docker\Docker Desktop Installer.exe,.NET Framework,4.6.2
C:\Program Files\dotnet\packs\Microsoft.Android.Sdk.Windows\33.0.95\tools\generator.dll,.NET Framework,7.0
C:\Program Files\dotnet\packs\Microsoft.Android.Sdk.Windows\33.0.95\tools\class-parse.dll,.NET Framework,7.0
C:\Program Files\dotnet\packs\Microsoft.Android.Sdk.Windows\34.0.95\tools\generator.dll,.NET Framework,7.0
C:\Program Files\dotnet\packs\Microsoft.Android.Sdk.Windows\34.0.95\tools\class-parse.dll,.NET Framework,7.0
C:\Program Files\dotnet\packs\Microsoft.iOS.Sdk\15.4.447\tools\lib\bgen\bgen.dll,.NET Framework,6.0
C:\Program Files\dotnet\packs\Microsoft.iOS.Sdk\15.4.447\tools\lib\mlaunch\mlaunch.app\Contents\MonoBundle\mlaunch.exe,.NET Framework,2.0
C:\Program Files\dotnet\packs\Microsoft.iOS.Sdk\16.4.7142\tools\lib\bgen\bgen.dll,.NET Framework,7.0
C:\Program Files\dotnet\packs\Microsoft.iOS.Sdk\16.4.7142\tools\lib\mlaunch\mlaunch.app\Contents\MonoBundle\.xamarin\osx-arm64\mlaunch.dll,.NET Framework,7.0
C:\Program Files\dotnet\packs\Microsoft.iOS.Sdk\16.4.7142\tools\lib\mlaunch\mlaunch.app\Contents\MonoBundle\.xamarin\osx-x64\mlaunch.dll,.NET Framework,7.0
C:\Program Files\dotnet\packs\Microsoft.iOS.Sdk\17.2.8053\tools\lib\bgen\bgen.dll,.NET Framework,8.0
C:\Program Files\dotnet\packs\Microsoft.iOS.Sdk\17.2.8053\tools\lib\mlaunch\mlaunch.app\Contents\MonoBundle\.xamarin\osx-arm64\mlaunch.dll,.NET Framework,7.0
C:\Program Files\dotnet\packs\Microsoft.iOS.Sdk\17.2.8053\tools\lib\mlaunch\mlaunch.app\Contents\MonoBundle\.xamarin\osx-x64\mlaunch.dll,.NET Framework,7.0
C:\Program Files\dotnet\packs\Microsoft.MacCatalyst.Sdk\15.4.447\tools\lib\bgen\bgen.dll,.NET Framework,6.0
C:\Program Files\dotnet\packs\Microsoft.MacCatalyst.Sdk\16.4.7142\tools\lib\bgen\bgen.dll,.NET Framework,7.0
C:\Program Files\dotnet\packs\Microsoft.MacCatalyst.Sdk\17.2.8053\tools\lib\bgen\bgen.dll,.NET Framework,8.0
C:\Program Files\dotnet\packs\Microsoft.macOS.Sdk\12.3.447\tools\lib\bgen\bgen.dll,.NET Framework,6.0
C:\Windows\WinSxS\amd64_microsoft.workflow.compiler_31bf3856ad364e35_4.0.15840.3_none_eb79ed42c51f131d\Microsoft.Workflow.Compiler.exe,.NET Framework,v4.0.30319
C:\Windows\WinSxS\amd64_msbuild_b03f5f7f11d50a3a_10.0.19041.1_none_fa6e7f402dbc0227\MSBuild.exe,.NET Framework,v2.0.50727
C:\Windows\WinSxS\amd64_msbuild_b03f5f7f11d50a3a_3.5.19041.1_none_82a6b3679b68b331\MSBuild.exe,.NET Framework,v2.0.50727
C:\Users\same_\.vscode\extensions\ms-dotnettools.csharp-2.84.19-win32-x64\.roslyn\BuildHost-net472\Microsoft.CodeAnalysis.Workspaces.MSBuild.BuildHost.exe,.NET Framework,4.7.2
C:\Users\same_\AppData\Local\Amazon Drive\AmazonPhotos.exe,.NET Framework,4.8
C:\Users\same_\AppData\Local\AzureFunctionsTools\Releases\1.13.2\cli_x64\func.exe,.NET Framework,4.7.1
C:\Users\same_\AppData\Local\AzureFunctionsTools\Releases\2.60.0\cli_x64\Microsoft.Azure.WebJobs.Script.WebHost.dll,.NET Framework,2.2
C:\Users\same_\AppData\Local\AzureFunctionsTools\Releases\2.60.0\cli_x64\func.dll,.NET Framework,2.2
C:\Users\same_\AppData\Local\AzureFunctionsTools\Releases\3.33.0\cli_x64\Microsoft.Azure.WebJobs.Script.WebHost.dll,.NET Framework,3.1
C:\Users\same_\AppData\Local\Temp\41pghhiz.f5t\resources\app\ServiceHub\Services\Microsoft.VisualStudio.Setup.Service\VSIXInstaller.exe,.NET Framework,4.7.2
C:\Users\same_\AppData\Local\Temp\41pghhiz.f5t\vs_layout.exe,.NET Framework,4.7.2
C:\Users\same_\AppData\Local\Temp\41pghhiz.f5t\vs_installershell.exe,.NET Framework,4.7.2
C:\Users\same_\AppData\Local\Temp\41pghhiz.f5t\vs_installer.windows.exe,.NET Framework,v2.0.50727
C:\Users\same_\AppData\Local\Temp\41pghhiz.f5t\vs_installer.exe,.NET Framework,4.7.2
C:\Users\same_\AppData\Local\Temp\41pghhiz.f5t\VSInstallerElevationService.exe,.NET Framework,4.7.2
C:\Users\same_\AppData\Local\Temp\41pghhiz.f5t\setup.exe,.NET Framework,4.7.2
C:\Users\same_\AppData\Local\Temp\41pghhiz.f5t\Microsoft.VisualStudio.Setup.ToastNotification.exe,.NET Framework,4.7.2
C:\Users\same_\AppData\Local\Temp\41pghhiz.f5t\InstallCleanup.exe,.NET Framework,4.7.2
C:\Users\same_\AppData\Local\Temp\41pghhiz.f5t\feedback.exe,.NET Framework,4.7.2
C:\Users\same_\AppData\Local\Temp\5vnd0ztg.24a\feedback.exe,.NET Framework,4.7.2
C:\Users\same_\AppData\Local\Temp\vlwh2doi\AndroidPlatformMAUI.7539777CD34B3A15AD74\AndroidSdkInstaller.exe,.NET Framework,4.7.2
C:\Users\same_\AppData\Local\Temp\vlwh2doi\AndroidPlatformMAUI2.39527689095EF6EF65C3\AndroidSdkInstaller.exe,.NET Framework,4.7.2
C:\Users\same_\AppData\Local\Temp\vlwh2doi\Microsoft.Build.UnGAC.843946F6F6E693C24240\Microsoft.Build.UnGAC.exe,.NET Framework,4.5
C:\Users\same_\AppData\Local\Temp\vlwh2doi\Microsoft.VisualStudio.Initializer.F63F5D1284D4E8712206\VSInitializer.exe,.NET Framework,4.7.2
C:\Users\same_\AppData\Local\Temp\AmazonPhotosSetup.exe,.NET Framework,4.8
